NO	LRR	LRR_var	group
1	-0.487384094	0.006720728	NBPs
2	-0.057824106	0.00445715	NBPs
3	-0.01890825	0.008904604	NBPs
4	0.106484187	0.010918776	NBPs
5	-0.255149382	0.002545022	NBPs
6	-0.338079788	0.001819464	NBPs
7	-0.185001131	0.013099777	NBPs
8	-0.010777401	0.004148332	NBPs
9	-0.008298326	0.003791782	NBPs
10	0.005497998	0.003334368	NBPs
11	0.058844422	0.00602937	NBPs
12	0.040494584	0.003665279	NBPs
13	-1.324570555	0.008164056	BPs
14	-0.21660846	0.006015808	BPs
15	-0.110789401	0.004515806	BPs
16	0.193490322	0.012851872	BPs
17	-0.762520977	0.001714484	BPs
18	-0.388186269	0.0081329	BPs
19	-0.089694604	0.003024254	BPs
20	-0.080935937	0.015624651	BPs
21	0.126625471	0.007340193	BPs
22	0.210394994	0.008018021	BPs
23	-0.110575224	0.002813083	BPs
24	0.061434713	0.010219427	BPs
25	-0.381119628	0.02353567	
26	-0.484191709	0.006420296	
27	-0.321101109	0.005102402	
28	-0.137126585	0.000632998	
29	-0.253109613	0.002454576	
30	-0.064873526	0.030661725	
31	0.017923068	0.004229574	
32	-0.007780756	0.003725382	
33	-0.106221425	0.005068446	
34	-0.751136949	0.014664082	
35	-1.331488305	0.008771263	
36	-0.306643437	0.005924937	
37	-0.493395456	0.011537483	
38	-0.760707172	0.001571596	
39	-0.373324142	0.001478287	
40	-0.013007556	0.006846159	
41	0.126073887	0.007281923	
42	0.00515374	0.020266236	
43	-0.491864518	0.006836223	NBPs
44	-0.213899024	0.005582083	NBPs
45	-1.201724551	0.006588904	BPs
46	-1.333654612	0.009374794	BPs
47	-0.254426408	0.002425424	NBPs
48	-0.115067975	0.005088181	NBPs
49	-1.021919802	0.000697145	BPs
50	-0.763176303	0.001644851	BPs
51	-0.009974416	0.003650731	NBPs
52	-0.221280457	0.004075565	NBPs
53	-0.090851391	0.016828606	BPs
54	0.123559139	0.007262415	BPs
55	-0.076261985	0.000470195	BPs
56	-0.114728266	0.000704126	BPs
57	-0.179005383	0.001158391	BPs
58	0.015611765	0.000338098	NBPs
59	-0.007017573	0.001024853	NBPs
60	0.024180798	0.000331213	NBPs
61	-0.805866218	0.064295031	NBPs
62	-0.901178203	0.01557661	NBPs
63	0.625428573	0.008749666	NBPs
64	0.174352933	0.018835613	NBPs
65	-0.09763847	0.000891064	NBPs
66	-0.109543372	0.001557463	NBPs
67	-0.184112068	0.000738289	NBPs
68	-0.167054085	0.000696576	NBPs
69	0	0.000584569	NBPs
70	-0.107549353	0.007373332	NBPs
71	-0.313378138	0.010587962	NBPs
72	-0.203427688	0.004705584	NBPs
73	-0.150617107	0.0041282	NBPs
74	-0.203427688	0.006523444	NBPs
75	-0.232032499	0.012151909	NBPs
76	-0.308547211	0.015489187	NBPs
77	-0.398568049	0.003581514	NBPs
78	-0.393426026	0.003862054	NBPs
79	-0.739171946	0.006080232	NBPs
80	-0.669213643	0.001569652	NBPs
81	-0.761150449	0.006947632	NBPs
82	-1.071307064	0.001872108	NBPs
83	-0.419401399	0.001945142	NBPs
84	-0.61657038	0.002679167	NBPs
85	-0.814395036	0.002669677	NBPs
86	-0.862405057	0.003261313	NBPs
87	-0.830143652	0.004045215	NBPs
88	-1.200518868	0.005425875	NBPs
89	-0.136993158	0.002365291	NBPs
90	-0.211103042	0.002391257	NBPs
91	-0.429983684	0.002615623	NBPs
92	-0.623000709	0.003741189	NBPs
93	-0.703581149	0.006906351	NBPs
94	-0.930227023	0.006048992	NBPs
95	-0.309838471	0.001029204	NBPs
