NO	LRR	LRR_var	group
1	-0.075985907	0.000107284	NBPs
2	-0.263584521	0.000133558	NBPs
3	-0.156160731	4.84E-05	NBPs
4	-0.37578934	4.84E-05	NBPs
5	-0.179585577	8.96E-07	NBPs
6	-0.320167528	0.000118666	NBPs
7	-0.235964079	0.014862244	NBPs
8	-0.188710918	0.016151749	NBPs
9	-0.150118464	0.006374564	NBPs
10	-0.175075099	0.003868574	NBPs
11	0.021669218	0.000397869	NBPs
12	0.008723389	0.000598289	NBPs
13	0.001093224	0.000604909	NBPs
14	-0.053621224	0.01511719	NBPs
15	0.311493366	0.013730113	NBPs
16	-0.17511767	0.016182031	NBPs
17	-1.672993043	0.106991543	NBPs
18	-0.422446322	0.016802848	NBPs
19	-0.052726881	0.003738287	NBPs
20	-0.340975009	0.078970405	NBPs
21	-0.040273447	0.000360731	NBPs
22	-0.195567274	0.000749094	NBPs
23	-0.032718011	0.001139201	NBPs
24	0.026035504	0.000922009	BPs
25	0.008816455	0.000125018	NBPs
26	-0.004670454	0.000386955	NBPs
27	-0.092207598	0.000129165	NBPs
28	-0.121245526	0.00162753	NBPs
29	0.011123124	0.000315978	BPs
30	-0.032686534	7.41E-05	BPs
31	-0.038966247	0.000241596	BPs
32	-0.032686534	0.000109582	BPs
33	0.068992871	0.001570295	NBPs
34	-0.241162057	0.001202985	NBPs
35	0	0.001734694	NBPs
36	-0.074107972	0.001405929	NBPs
37	-0.019681254	0.000167244	NBPs
38	-0.109950082	0.001496014	NBPs
39	-0.020816595	1.63E-05	NBPs
40	-0.08418127	0.000205229	NBPs
41	0.022027341	7.79E-05	BPs
42	0.022571365	0.000260371	BPs
43	-0.003346209	1.90E-05	BPs
44	-0.045566009	5.23E-05	BPs
45	0.05651221	0.000255967	NBPs
46	0.045462374	0.00060649	NBPs
47	0.609065332	0.168549446	NBPs
48	1.689980103	0.049932284	NBPs
49	-0.16882087	0.005106755	NBPs
50	-0.228009741	0.003324225	NBPs
51	0.034023612	0.001948777	NBPs
52	0.0593724	0.004734903	NBPs
53	0.031415791	0.004403128	NBPs
54	0.105891983	0.000803455	NBPs
55	0.161716869	0.000683119	NBPs
56	-0.010695905	0.005344764	NBPs
57	-0.042559614	0.000245411	NBPs
58	0	0.000244511	NBPs
59	-0.125626213	0.00142603	NBPs
60	0	0.003076923	NBPs
61	-0.062520357	0.004713797	NBPs
62	0.043172172	0.003228039	NBPs
63	-0.00154849	0.000429012	NBPs
64	-0.048210098	0.000497148	NBPs
65	-0.057314002	0.000801321	NBPs
66	-0.106218491	0.000721759	NBPs
67	0.173554281	0.037634737	BPs
68	-0.035536453	0.041312905	BPs
69	-0.173879387	0.036202805	BPs
70	0.28456324	0.029162237	BPs
71	0	0.000488281	NBPs
72	-0.016000341	0.000512098	NBPs
73	0	0.000488281	NBPs
74	-0.032260862	0.000520698	NBPs
75	-0.015748357	0.000496093	NBPs
76	-0.016000341	0.000512098	NBPs
77	-0.015748357	0.000496093	NBPs
78	-0.032260862	0.000520698	NBPs
79	0.077650934	0.022266901	NBPs
80	0.090971778	0.026057179	NBPs
81	0.524326311	0.001670596	NBPs
82	-0.725512465	0.087653443	NBPs
83	-0.049698975	0.001932517	NBPs
84	-0.012194085	0.002273188	NBPs
85	0.081440197	0.006192893	NBPs
86	-0.157185626	0.001371047	NBPs
87	-0.185964195	0.004328123	NBPs
88	-0.028738475	0.000225394	NBPs
89	0.055109933	4.06E-05	NBPs
90	0.052425895	4.07E-05	NBPs
91	0.005993143	0.000129551	BPs
92	-0.020245065	0.000254127	NBPs
93	0.041221496	0.000141644	BPs
94	0.002001161	0.000218197	NBPs
95	-0.004016027	0.000113963	BPs
96	0	6.53E-05	NBPs
97	-0.012096792	5.33E-05	BPs
98	-0.172352304	0.000253267	NBPs
99	-0.11453236	5.42E-05	BPs
100	-0.238797776	0.000516996	NBPs
101	-0.064539365	0.001803782	NBPs
102	-0.081345568	0.00240574	NBPs
103	-0.094139951	0.001986532	NBPs
104	-0.052115845	0.002607809	NBPs
105	0.026976668	0.002407104	NBPs
106	0.042062381	0.001741452	NBPs
107	0.030772042	0.002444255	NBPs
108	0.023166834	0.001890137	NBPs
109	0.015503343	0.001762683	NBPs
110	-0.09371331	0.001364693	NBPs
111	-0.086720597	0.001581564	NBPs
112	-0.122185591	0.003703833	NBPs
113	-0.147780951	0.022315129	NBPs
114	-0.083241558	0.001344025	NBPs
115	-0.086720597	0.00114452	NBPs
116	-0.076321437	0.000664765	NBPs
117	-0.122185591	0.010585128	NBPs
118	-0.129431668	0.005656835	NBPs
119	0.159848079	0.00195873	NBPs
120	0.16363117	0.002297673	NBPs
121	0.159848079	0.002303162	NBPs
122	0.13465759	0.003578801	NBPs
123	0.195743819	0.002371887	NBPs
124	0.203125061	0.002366861	NBPs
