OTU	log2FC	p_value	group	Origin
GH5	20.3179265	0.011940467	SP-SNV	C_cycle
GH13	0	1	SP-SNV	C_cycle
GH43	0	1	SP-SNV	C_cycle
GT2	20.00877381	0.04048367	SP-SNV	C_cycle
PL1	0	1	SP-SNV	C_cycle
PL7	21.67048142	0.020243039	SP-SNV	C_cycle
rbcL	0	1	SP-SNV	C_cycle
acdA	0	1	SP-SNV	C_cycle
ackA	21.68912833	0.000933847	SP-SNV	C_cycle
apgM	0	1	SP-SNV	C_cycle
dfrA1	16.21112672	0.163938868	SP-SNV	C_cycle
eno	18.00062084	0.098834737	SP-SNV	C_cycle
fbp	-20.56368941	0.422649731	SP-SNV	C_cycle
fdhA	0	1	SP-SNV	C_cycle
folA	22.64889084	0.0009727	SP-SNV	C_cycle
glpX	0	1	SP-SNV	C_cycle
glyA	4.958027505	0.320613798	SP-SNV	C_cycle
gpmB	18.20348713	0.320613798	SP-SNV	C_cycle
gpmI	-20.74680542	0.422649731	SP-SNV	C_cycle
hprA	0	1	SP-SNV	C_cycle
hxlA	0	1	SP-SNV	C_cycle
mdh-K00024	15.43024548	0.320613798	SP-SNV	C_cycle
metF	22.1602978	0.006496946	SP-SNV	C_cycle
mtrA	16.65694418	0.320613798	SP-SNV	C_cycle
nirK	17.1360575	0.082457785	SP-SNV	C_cycle
pfkA	0	1	SP-SNV	C_cycle
ppc	17.20530915	0.063855973	SP-SNV	C_cycle
pqqA	0	1	SP-SNV	C_cycle
pqqB	0	1	SP-SNV	C_cycle
pqqE	14.90929448	0.159184038	SP-SNV	C_cycle
pta	18.43333718	0.041807804	SP-SNV	C_cycle
rnfC	19.09328083	0.011340764	SP-SNV	C_cycle
serB	0	1	SP-SNV	C_cycle
asnB	0	1	SP-SNV	N_cycle
nrfA	21.09395533	0.105363725	SP-SNV	N_cycle
ureB	18.88489845	0.320613798	SP-SNV	N_cycle
nosZ	17.27991309	0.125424818	SP-SNV	N_cycle
nirK	19.92368429	0.177990088	SP-SNV	N_cycle
nmo	21.83559385	0.039886304	SP-SNV	N_cycle
nifW	0	1	SP-SNV	N_cycle
adk	0	1	SP-SNV	P_cycle
dcd	2.569862056	0.023009276	SP-SNV	P_cycle
dut	23.52413183	0.00038088	SP-SNV	P_cycle
gdh	0	1	SP-SNV	P_cycle
gmk	-3.560197067	0.45688089	SP-SNV	P_cycle
gnd	19.02748372	0.177559405	SP-SNV	P_cycle
gntK	0	1	SP-SNV	P_cycle
guaA	22.39273486	0.002585458	SP-SNV	P_cycle
guaB	21.56903294	0.086183291	SP-SNV	P_cycle
ndk	0	1	SP-SNV	P_cycle
nrdA	2.087969065	0.132800528	SP-SNV	P_cycle
nrdB	1.502568252	0.142199645	SP-SNV	P_cycle
nrdD	19.85115696	0.082565757	SP-SNV	P_cycle
nrdE	21.45564139	0.316689029	SP-SNV	P_cycle
nrdF	19.76250221	0.300785954	SP-SNV	P_cycle
nrdJ	20.23214211	0.022344281	SP-SNV	P_cycle
phnK	0	1	SP-SNV	P_cycle
phnN	0	1	SP-SNV	P_cycle
phoH	21.20534409	0.000218802	SP-SNV	P_cycle
ppa	0	1	SP-SNV	P_cycle
ppc	17.20530915	0.063855973	SP-SNV	P_cycle
ppdK	23.25562935	0.188035934	SP-SNV	P_cycle
ppk	16.08686095	0.302611032	SP-SNV	P_cycle
pstA	0	1	SP-SNV	P_cycle
pstB	0	1	SP-SNV	P_cycle
pstS	0	1	SP-SNV	P_cycle
ptsI	0	1	SP-SNV	P_cycle
purA	0.81712893	0.339223356	SP-SNV	P_cycle
purB	0	1	SP-SNV	P_cycle
purH	-0.819275266	0.500196757	SP-SNV	P_cycle
purK	21.00361237	0.122483982	SP-SNV	P_cycle
purL	0	1	SP-SNV	P_cycle
purM	1.150577639	0.091066712	SP-SNV	P_cycle
purN	13.81868203	0.320613798	SP-SNV	P_cycle
purQ	20.34442814	0.002757882	SP-SNV	P_cycle
purS	21.06256659	0.023835346	SP-SNV	P_cycle
purT	0	1	SP-SNV	P_cycle
pyk	19.16402642	0.237879402	SP-SNV	P_cycle
pyrE	21.11798081	0.085252419	SP-SNV	P_cycle
pyrF	17.39485643	0.126040624	SP-SNV	P_cycle
pyrG	0	1	SP-SNV	P_cycle
pyrH	0	1	SP-SNV	P_cycle
rtpR	21.06084404	0.019363987	SP-SNV	P_cycle
thyA	17.60097454	0.232527427	SP-SNV	P_cycle
tmk	23.33384185	0.000132994	SP-SNV	P_cycle
ugpC	20.5261453	0.009638797	SP-SNV	P_cycle
betA	14.90929448	0.159184038	SP-SNV	S_cycle
betB	0	1	SP-SNV	S_cycle
cysA	20.94961359	0.00558964	SP-SNV	S_cycle
cysC	0	1	SP-SNV	S_cycle
cysD	13.43432216	0.320613798	SP-SNV	S_cycle
cysE	16.874679	0.027020969	SP-SNV	S_cycle
cysH	16.40757009	0.04356067	SP-SNV	S_cycle
cysI	17.60964915	0.148209435	SP-SNV	S_cycle
cysJ	21.05127726	0.000542501	SP-SNV	S_cycle
cysK	15.24280311	0.232370942	SP-SNV	S_cycle
